iter	Passed	Remaining
0	3	3569
1	7	3610
2	10	3605
3	14	3565
4	18	3610
5	22	3730
6	25	3650
7	29	3597
8	32	3536
9	38	3846
10	42	3803
11	45	3779
12	49	3743
13	61	4356
14	64	4266
15	69	4287
16	73	4228
17	76	4171
18	79	4097
19	83	4067
20	85	4006
21	89	3962
22	92	3912
23	94	3856
24	98	3834
25	102	3828
26	105	3805
27	108	3769
28	111	3738
29	116	3773
30	120	3768
31	123	3734
32	126	3701
33	129	3688
34	132	3664
35	136	3648
36	139	3619
37	142	3596
38	145	3594
39	148	3575
40	151	3553
41	154	3530
42	158	3521
43	161	3509
44	164	3485
45	167	3464
46	169	3446
47	172	3424
48	175	3409
49	178	3395
50	182	3389
51	184	3372
52	187	3355
53	190	3340
54	194	3348
55	197	3335
56	200	3319
57	203	3305
58	206	3300
59	210	3296
60	213	3291
61	216	3280
62	219	3270
63	222	3256
64	225	3247
65	229	3242
66	232	3231
67	235	3225
68	238	3214
69	241	3213
70	252	3308
71	257	3314
72	261	3316
73	265	3323
74	270	3330
75	274	3340
76	278	3339
77	281	3327
78	284	3321
79	288	3318
80	291	3309
81	294	3297
82	297	3291
83	302	3301
84	309	3328
85	316	3367
86	323	3399
87	329	3418
88	335	3430
89	340	3447
90	345	3451
91	349	3446
92	353	3447
93	359	3464
94	365	3478
95	368	3465
96	370	3450
97	373	3435
98	376	3428
99	379	3416
100	382	3403
101	385	3391
102	387	3377
103	391	3368
104	393	3357
105	396	3347
106	399	3338
107	402	3327
108	405	3317
109	409	3309
110	411	3299
111	414	3288
112	417	3278
113	420	3266
114	423	3260
115	426	3251
116	430	3245
117	433	3239
118	436	3229
119	439	3222
120	442	3214
121	445	3205
122	448	3196
123	451	3187
124	454	3180
125	457	3174
126	460	3167
127	463	3158
128	466	3149
129	470	3147
130	474	3147
131	477	3142
132	481	3136
133	484	3129
134	488	3130
135	492	3128
136	495	3122
137	498	3114
138	501	3109
139	507	3115
140	510	3108
141	513	3100
142	515	3091
143	520	3094
144	523	3088
145	526	3082
146	529	3074
147	533	3068
148	536	3064
149	539	3056
150	542	3049
